Bundesland;Behörde;Mailadresse;Website
BB;MIK;presse@mik.brandenburg.de;https://mik.brandenburg.de/
BB;MdJ;presse@mdj.brandenburg.de;https://mdj.brandenburg.de/
BB;MDFE;Poststelle@mdf.brandenburg.de;https://mdfe.brandenburg.de/
BB;MIL;oeffentlichkeitsarbeit@mil.brandenburg.de;https://mil.brandenburg.de/
BB;MWFK;presse@mwfk.brandenburg.de;https://mwfk.brandenburg.de/
BB;MBJS;poststelle@mbjs.brandenburg.de;https://mbjs.brandenburg.de/
BB;MSGIV;poststelle@msgiv.brandenburg.de;https://msgiv.brandenburg.de/
BB;MLUK;poststelle@mluk.brandenburg.de;https://mluk.brandenburg.de/
BB;MWAE;poststelle@mwae.brandenburg.de;https://mwae.brandenburg.de/
BB;ZIT-BB;poststelle@zit-bb.brandenburg.de;https://zit-bb.brandenburg.de/
BB;Pol BB;onlineredaktion@polizei.brandenburg.de;https://polizei.brandenburg.de/
BB;VS BB;info@verfassungsschutz-brandenburg.de;https://verfassungsschutz.brandenburg.de/
BB;LKA BB;Pressestelle01.LKAEW@polizei-internet.brandenburg.de;https://polizei.brandenburg.de/
HB;Land;info@bremen.de;https://www.bremen.de/
HB;Senat;office@sk.bremen.de;https://www.rathaus.bremen.de/
HB;SJIS;office@soziales.bremen.de;https://www.soziales.bremen.de/
HB;Finanzen;office@finanzen.bremen.de;https://www.finanzen.bremen.de/
HB;Inneres;office@inneres.bremen.de;https://www.inneres.bremen.de/
HB;Justiz;office@justiz.bremen.de;https://www.justiz.bremen.de/
HB;Bildung;office@bildung.bremen.de;https://www.bildung.bremen.de/
HB;Kultur;office@kultur.bremen.de;https://www.kultur.bremen.de/
HB;Bau/Umwelt;office@umwelt.bremen.de;https://www.bauumwelt.bremen.de/
HB;Wirtschaft;office@wah.bremen.de;https://www.wirtschaft.bremen.de/
HB;Gesundheit;office@gesundheit.bremen.de;https://www.gesundheit.bremen.de
HB;Wissenschaft/Häfen;office@swh.bremen.de;https://www.wissenschaft-haefen.bremen.de/
HB;KoGIs;CC-EGov@AFZ.Bremen.de;https://www.kogis.bremen.de/
HB;Pol HB;office@polizei.bremen.de;https://www.polizei.bremen.de/
HB;VS HB;office@lfv.bremen.de;https://www.verfassungsschutz.bremen.de/
HB;LKA HB;office@polizei.bremen.de;https://www.polizei.bremen.de/
HH;Land;info-office@hamburg.de;http://hamburg.de/
HH;Senat;pressestelle@sk.hamburg.de;http://hamburg.de/
HH;BWFGB;pressestelle@bwfg.hamburg.de;https://wissenschaft.hamburg.de/
HH;BSB;webmaster@bsb.hamburg.de;http://hamburg.de/
HH;BIS;poststelle@bis.hamburg.de;http://hamburg.de/
HH;FB;pressestelle@fb.hamburg.de;http://hamburg.de/
HH;BWI;poststelle@bwvi.hamburg.de;http://hamburg.de/
HH;BSW;info@bsw.hamburg.de;http://hamburg.de/
HH;BUKEA;info@bue.hamburg.de;http://hamburg.de/
HH;BJV;poststelle@justiz.hamburg.de;http://hamburg.de/
HH;BAGSFI;poststelle@basfi.hamburg.de;http://hamburg.de/
HH;BVM;poststelle@bwvi.hamburg.de;http://hamburg.de/
HH;BKM;pressestelle@bkm.hamburg.de;http://hamburg.de/
HH;Pol HH;polizeioeffentlichkeitsarbeit@polizei.hamburg.de;https://www.polizei.hamburg/
HH;VS HH;poststelle@verfassungsschutz.hamburg.de;http://hamburg.de/
HH;LKA HH;polizeioeffentlichkeitsarbeit@polizei.hamburg.de;https://www.polizei.hamburg/
HE;Land;info@stk.hessen.de;https://www.hessen.de/
HE;HZD;poststelle@hzd.hessen.de;https://hzd.hessen.de/
HE;Staatskanzlei;presse@stk.hessen.de;https://staatskanzlei.hessen.de/
HE;HMWEVW;presse@wirtschaft.hessen.de;https://wirtschaft.hessen.de/
HE;HMdIS;pressestelle@hmdis.hessen.de;https://innen.hessen.de/
HE;HMdF;pressestelle@hmdf.hessen.de;https://finanzen.hessen.de/
HE;HMdJ;pressestelle@hmdj.hessen.de;https://justizministerium.hessen.de/
HE;HKM;pressestelle@kultus.hessen.de;https://kultusministerium.hessen.de/
HE;HMWK;pressestelle@hmwk.hessen.de;https://wissenschaft.hessen.de/
HE;HSM;presse@hsm.hessen.de;https://soziales.hessen.de/
HE;HMUKLV;pressestelle@umwelt.hessen.de;https://umwelt.hessen.de/
HE;HMDSE;Pressestelle@digitales.hessen.de;https://digitales.hessen.de/
HE;Pol HE;hlka@polizei.hessen.de;https://www.polizei.hessen.de/
HE;VS HE;pressestelle@lfv.hessen.de;https://lfv.hessen.de/
HE;LKA HE;hlka@polizei.hessen.de;https://www.polizei.hessen.de/
MV;Land;info@mv-tut-gut.de;https://www.mecklenburg-vorpommern.de/
MV;Staatskanzlei;poststelle@stk.mv-regierung.de;https://www.regierung-mv.de/
MV;DVZ;marketing@dvz-mv.de;https://www.dvz-mv.de/
MV;IM MV;poststelle@im.mv-regierung.de;https://www.regierung-mv.de/
MV;JM MV;poststelle@jm.mv-regierung.de;https://www.regierung-mv.de/
MV;FM MV;poststelle@fm.mv-regierung.de;https://www.regierung-mv.de/
MV;MWAG MV;poststelle@wm.mv-regierung.de;https://www.regierung-mv.de/
MV;MLU MV;poststelle@lm.mv-regierung.de;https://www.regierung-mv.de/
MV;MBWK MV;poststelle@bm.mv-regierung.de;https://www.regierung-mv.de/
MV;MEID MV;poststelle@em.mv-regierung.de;https://www.regierung-mv.de/
MV;MSIG MV;poststelle@sm.mv-regierung.de;https://www.regierung-mv.de/
MV;Pol MV;poststelle@im.mv-regierung.de;https://www.polizei.mvnet.de/
MV;VS MV;info@verfassungsschutz-mv.de;https://www.verfassungsschutz-mv.de/
MV;LKA MV;presse@lka-mv.de;http://lka-mv.de/
NI;Land;poststelle@stk.niedersachsen.de;https://www.niedersachsen.de/
NI;Staatskanzlei;poststelle@stk.niedersachsen.de;https://www.stk.niedersachsen.de/
NI;IT.N;poststelle@it.niedersachsen.de;https://www.it.niedersachsen.de/
NI;MF;poststelle@mf.niedersachsen.de;https://www.mf.niedersachsen.de/
NI;MI;pressestelle@mi.niedersachsen.de;https://www.mi.niedersachsen.de/
NI;MJ;poststelle@mj.niedersachsen.de;https://www.mj.niedersachsen.de/
NI;MK;poststelle@mk.niedersachsen.de;https://www.mk.niedersachsen.de/
NI;MS;poststelle@ms.niedersachsen.de;https://www.ms.niedersachsen.de/
NI;MW;poststelle@mw.niedersachsen.de;https://www.mw.niedersachsen.de/
NI;MU;pressestelle@mu.niedersachsen.de;https://www.umwelt.niedersachsen.de/
NI;MWK;pressestelle@mwk.niedersachsen.de;https://www.mwk.niedersachsen.de/
NI;ML;poststelle@ml.niedersachsen.de;https://www.ml.niedersachsen.de/
NI;MB;pressestelle@mb.niedersachsen.de;https://www.mb.niedersachsen.de/
NI;Pol NI;pressestelle@mi.niedersachsen.de;https://www.polizei-nds.de/
NI;VS NI;oeffentlichkeitsarbeit@verfassungsschutz.niedersachsen.de;https://www.verfassungsschutz.niedersachsen.de/
NI;LKA NI;lka@polizei.niedersachsen.de;https://www.lka.polizei-nds.de/
NW;Land;presse@stk.nrw.de;https://www.land.nrw/
NW;Staatskanzlei;presse@stk.nrw.de;https://www.land.nrw/
NW;IT.NRW;pressestelle@it.nrw.de;https://www.it.nrw/
NW;MKFFI NRW;poststelle@mkffi.nrw.de;https://www.mkffi.nrw/
NW;FM NRW;presse@fm.nrw.de;https://www.finanzverwaltung.nrw.de/
NW;IM NRW;poststelle@im.nrw.de;https://www.im.nrw/
NW;MWIDE NRW;poststelle@mwide.nrw.de;https://www.wirtschaft.nrw/
NW;MAGS NRW;poststelle@mags.nrw.de;https://www.mags.nrw/
NW;MSB NRW;poststelle@msb.nrw.de;https://www.schulministerium.nrw.de/
NW;MHKBG NRW;poststelle@mhkbg.nrw.de;https://www.mhkbg.nrw/
NW;JM NRW;poststelle@jm.nrw.de;https://www.justiz.nrw.de/
NW;VM NRW;poststelle@vm.nrw.de;https://www.vm.nrw.de/
NW;MULNV NRW;poststelle@mulnv.nrw.de;https://www.umwelt.nrw.de/
NW;MKW NRW;poststelle@mkw.nrw.de ;https://www.mkw.nrw/
NW;MBEI NRW;mbei.internetredaktion@stk.nrw.de ;https://www.mbei.nrw/
NW;Pol NRW;poststelle@im.nrw.de;https://polizei.nrw/
NW;VS NRW;kontakt.verfassungsschutz@im1.nrw.de;https://www.im.nrw/
NW;LKA NRW;poststelle.lka@polizei.nrw.de;https://lka.polizei.nrw/
RP;Land;buergerbuero@stk.rlp.de;https://www.rlp.de/
RP;LDI;poststelle@ldi.rlp.de;https://ldi.rlp.de/
RP;CERT LRP;poststelle@ldi.rlp.de;https://cert.rlp.de/
RP;Staatskanzlei;buergerbuero@stk.rlp.de;https://www.rlp.de/
RP;MWVLV;poststelle@mwvlw.rlp.de;https://mwvlw.rlp.de/
RP;FM;poststelle@fm.rlp.de;https://fm.rlp.de/
RP;MdI;poststelle@mdi.rlp.de;https://mdi.rlp.de/
RP;MSAGD;poststelle@msagd.rlp.de;https://msagd.rlp.de/
RP;BM;poststelle@bm.rlp.de;https://bm.rlp.de/
RP;MWWK;poststelle@mwwk.rlp.de;https://mwwk.rlp.de/
RP;JM;poststelle@jm.rlp.de;https://jm.rlp.de/
RP;MUEEF;poststelle@mueef.rlp.de;https://mueef.rlp.de/
RP;MFFJIV;poststelle@mffjiv.rlp.de;https://mffjiv.rlp.de/
RP;Pol RLP;abteilung4@mdi.polizei.rlp.de;https://www.polizei.rlp.de/
RP;VS RLP;verfassungsschutz@mdi.rlp.de;https://mdi.rlp.de/
RP;LKA RLP;lka@polizei.rlp.de;https://www.polizei.rlp.de/
SL;Land;presse@staatskanzlei.saarland.de;https://www.saarland.de/
SL;IT-DLZ;info@it-dlz.saarland.de;https://www.saarland.de/
SL;Staatskanzlei;presse@staatskanzlei.saarland.de;https://www.saarland.de/
SL;MWAEV;poststelle@wirtschaft.saarland.de;https://www.saarland.de/
SL;MFE;poststelle@finanzen.saarland.de;https://www.saarland.de/
SL;MJ;poststelle@justiz.saarland.de;https://www.saarland.de/
SL;MIBS;poststelle@innen.saarland.de;https://www.saarland.de/
SL;MSGFF;poststelle@soziales.saarland.de;https://www.saarland.de/
SL;MBK;poststelle@bildung.saarland.de;https://www.saarland.de/
SL;MUV;info@umwelt.saarland.de;https://www.saarland.de/
SL;Pol SL;lpp-pressestelle@polizei.slpol.de;https://www.saarland.de/
SL;VS SL;info@lfv.saarland.de;https://www.saarland.de/
SL;LKA SL;lpp20@polizei.slpol.de;https://www.saarland.de/
SN;Land;info@sk.sachsen.de;https://www.sachsen.de/
SN;SID;poststelle@sid.sachsen.de;https://www.sid.sachsen.de/
SN;Staatskanzlei;info@sk.sachsen.de;https://www.sk.sachsen.de/
SN;SMEKUL;Poststelle@smul.sachsen.de;https://www.smul.sachsen.de/
SN;SMWA;poststelle@smwa.sachsen.de;https://www.smwa.sachsen.de/
SN;SMF;poststelle@smf.sachsen.de;https://www.smf.sachsen.de/
SN;SMI;info@smi.sachsen.de;https://www.smi.sachsen.de/
SN;SMJ;poststelle@smj.justiz.sachsen.de;https://www.justiz.sachsen.de/
SN;SMK;presse@smk.sachsen.de;https://www.smk.sachsen.de/
SN;SMWK;presse@smwk.sachsen.de;https://www.smwk.sachsen.de/
SN;SMS;poststelle@sms.sachsen.de;https://www.sms.sachsen.de/
SN;SMR;info@smr.sachsen.de;https://www.smr.sachsen.de/
SN;Pol SN;polizei.kommunikation@smi.sachsen.de;https://www.polizei.sachsen.de/
SN;VS SN;verfassungsschutz@lfv.smi.sachsen.de;https://www.verfassungsschutz.sachsen.de/
SN;LKA SN;lka@polizei.sachsen.de;https://www.polizei.sachsen.de/
ST;Land;staatskanzlei@stk.sachsen-anhalt.de;https://www.sachsen-anhalt.de/
ST;Staatskanzlei;staatskanzlei@stk.sachsen-anhalt.de;https://stk.sachsen-anhalt.de/
ST;MS;ms-presse@ms.sachsen-anhalt.de;https://ms.sachsen-anhalt.de/
ST;MULE;pr@mule.sachsen-anhalt.de;https://mule.sachsen-anhalt.de/
ST;MI;pressestelle@mi.sachsen-anhalt.de;https://mi.sachsen-anhalt.de/
ST;MJ;presse@mj.sachsen-anhalt.de;https://mj.sachsen-anhalt.de/
ST;MF;presse-mf@sachsen-anhalt.de;https://mf.sachsen-anhalt.de/
ST;MB;mb-presse@sachsen-anhalt.de;https://mb.sachsen-anhalt.de/
ST;MW;presse@mw.sachsen-anhalt.de;https://mw.sachsen-anhalt.de/
ST;MLV;poststelle@mlv.sachsen-anhalt.de;https://mlv.sachsen-anhalt.de/
ST;Dataport;poststelle@dataport.de;https://www.dataport.de/
ST;Pol ST;pressestelle@mi.sachsen-anhalt.de;https://polizei-web.sachsen-anhalt.de/
ST;VS ST;verfassungsschutz@mi.sachsen-anhalt.de;https://mi.sachsen-anhalt.de/
ST;LKA ST;liz.lka@polizei.sachsen-anhalt.de;https://polizei-web.sachsen-anhalt.de/
SH;Land;landesportal@stk.landsh.de;https://schleswig-holstein.de/
SH;Staatskanzlei;poststelle@stk.landsh.de;https://schleswig-holstein.de/
SH;FM;Kontakt@fimi.landsh.de;https://schleswig-holstein.de/
SH;MSGJFS;Poststelle@sozmi.landsh.de;https://schleswig-holstein.de/
SH;MJEV SH;Poststelle@jumi.landsh.de;https://schleswig-holstein.de/
SH;MBWK SH;pressestelle@bimi.landsh.de;https://schleswig-holstein.de/
SH;MILIG SH;poststelle@im.landsh.de;https://schleswig-holstein.de/
SH;MELUND SH;poststelle@melund.landsh.de;https://schleswig-holstein.de/
SH;MWVATT SH;poststelle@wimi.landsh.de;https://schleswig-holstein.de/
SH;Dataport;poststelle@dataport.de;https://www.dataport.de/
SH;Pol SH;pressestelle.kiel.lpa@polizei.landsh.de;https://schleswig-holstein.de/
SH;VS SH;verfassungsschutz.schleswig-holstein@im.landsh.de;http://www.verfassungsschutz.schleswig-holstein.de/
SH;LKA SH;presse.kiel.lka@polizei.landsh.de;https://www.schleswig-holstein.de/
TH;Land;poststelle@tsk.thueringen.de;https://thueringen.de/
TH;Staatskanzlei;poststelle@tsk.thueringen.de;https://www.staatskanzlei-thueringen.de/
TH;TMWWDG;mailbox@tmwwdg.thueringen.de;https://wirtschaft.thueringen.de/
TH;TMUEN;presse@tmuen.thueringen.de;https://umwelt.thueringen.de/
TH;TMMJV;poststelle@tmmjv.thueringen.de;https://justiz.thueringen.de/
TH;TMIL;poststelle@tmil.thueringen.de;https://infrastruktur-landwirtschaft.thueringen.de/
TH;TMBJS;presse@tmbjs.thueringen.de;https://bildung.thueringen.de/
TH;TMIK;presse@tmik.thueringen.de;https://innen.thueringen.de/
TH;TFM;kommunikation@tfm.thueringen.de;https://finanzen.thueringen.de/
TH;TMASGFF;Poststelle@tmasgff.thueringen.de;https://www.tmasgff.de/
TH;LRZ;poststelle@tlrz.thueringen.de;https://landesrechenzentrum.thueringen.de/
TH;Pol TH;poststelle.lpd@polizei.thueringen.de;https://thueringen.de/
TH;VS TH;afvoeffentlichkeit@tmik.thueringen.de;https://thueringen.de/
TH;LKA TH;poststelle@lka.polizei.thueringen.de;https://thueringen.de/
BRD;Regierung;internetpost@bundesregierung.de;https://www.bundesregierung.de/
BRD;BKAmt;poststelle@bk.bund.de;https://www.bundesregierung.de/
BRD;ITZBund;poststelle@itzbund.de;https://www.itzbund.de/
BRD;BMF;Poststelle@bmf.bund.de;https://www.bundesfinanzministerium.de
BRD;BMI;poststelle@bmi.bund.de;https://www.bmi.bund.de/
BRD;AA;poststelle@auswaertiges-amt.de;https://www.auswaertiges-amt.de/
BRD;BMWI;poststelle@bmwi.bund.de;https://www.bmwi.de/
BRD;BMJV;poststelle@bmjv.bund.de;https://www.bmjv.de/
BRD;BMAS;info@bmas.bund.de;https://www.bmas.de/
BRD;BMVg;poststelle@bmvg.bund.de;https://www.bmvg.de/
BRD;BMEL;poststelle@bmel.bund.de;https://www.bmel.de/
BRD;BMFSFJ;poststelle@bmfsfj.bund.de;https://www.bmfsfj.de/
BRD;BMG;poststelle@bmg.bund.de;https://www.bundesgesundheitsministerium.de/
BRD;BMVI;poststelle@bmvi.bund.de;https://www.bmvi.de/
BRD;BMU;Poststelle@bmu.bund.de;https://www.bmu.de/
BRD;BMBF;bmbf@bmbf.bund.de;https://www.bmbf.de/
BRD;BMZ;poststelle@bmz.bund.de;http://www.bmz.de/
BRD;BPol;bpolp@polizei.bund.de;https://www.bundespolizei.de/
BRD;VS Bund;poststelle@bfv.bund.de;https://www.verfassungsschutz.de/
BRD;Bundestag;mail@bundestag.de;https://www.bundestag.de/
BRD;BKA;mail@bka.bund.de;https://www.bka.de/
